iter	Accuracy	MultiClass
302	0.6299211419	0.8732931063
303	0.629841235	0.8732491771
304	0.629841235	0.8732145786
305	0.6298112699	0.8731686014
306	0.6298761942	0.8731348616
307	0.6298811884	0.8731060084
308	0.6298911768	0.8730538542
309	0.6299461128	0.8730340288
310	0.6299561011	0.8729879985
311	0.6299111535	0.8729498033
312	0.6298811884	0.8729175479
313	0.6298612117	0.8728590093
314	0.629841235	0.8728008071
315	0.6298612117	0.8727634009
316	0.6298612117	0.8727453593
317	0.6298662059	0.8727117364
318	0.6299011651	0.8726863398
319	0.6299111535	0.8726460791
320	0.6299710837	0.872590696
321	0.6299810721	0.8725705246
322	0.6299810721	0.8725082748
323	0.6300360081	0.872466328
324	0.6300709673	0.8724208247
325	0.6301908277	0.8723921322
326	0.6301608626	0.8723504595
327	0.6301808393	0.8723063541
328	0.6302407695	0.8722748003
329	0.6302457637	0.8722288123
330	0.630335659	0.8721943127
331	0.6302907113	0.8721623909
332	0.6302857171	0.8721154128
333	0.630310688	0.8720374989
334	0.6303506415	0.8719922316
335	0.6303056939	0.8719592113
336	0.6303256706	0.8719175979
337	0.6303606299	0.8718632778
338	0.6303606299	0.8718225856
339	0.6303506415	0.8717894953
340	0.630365624	0.8717619072
341	0.6303306648	0.871722911
342	0.6303506415	0.8716913317
343	0.6303306648	0.871643962
344	0.63042056	0.8715992816
345	0.630390595	0.8715763576
346	0.6303456473	0.8715097382
347	0.6304005833	0.8714649919
348	0.6303756124	0.8714354138
349	0.6304655077	0.8714042679
350	0.6305504088	0.8713729409
351	0.6306003506	0.8713277431
352	0.6305953564	0.8712961876
353	0.6306452982	0.871242228
354	0.6305903622	0.8712079637
355	0.6306053448	0.8711787368
356	0.630530432	0.8711424881
357	0.6305054611	0.8711132009
358	0.6304605135	0.8710764173
359	0.6304705019	0.8710387924
360	0.6305454146	0.8710195202
361	0.6305154495	0.8709780057
362	0.6305753797	0.8709149971
363	0.6306203273	0.8708737123
364	0.6305903622	0.8708400011
365	0.6305404204	0.8707877627
366	0.6304954728	0.8707621165
367	0.6306802575	0.8706988666
368	0.630665275	0.8706737289
369	0.6305953564	0.8706338962
370	0.6306203273	0.870599392
371	0.6306602808	0.8705748948
372	0.6306852517	0.8705285591
373	0.6306802575	0.8705045466
374	0.6306802575	0.8704712341
375	0.6307651586	0.8704217317
376	0.630830083	0.8703888477
377	0.6308200946	0.8703595047
378	0.6308650422	0.8703192338
379	0.6308700364	0.8702765242
380	0.6309049957	0.8702224554
381	0.6309299666	0.8702004328
382	0.6309000015	0.8701640101
383	0.6309649259	0.8701167055
384	0.6309649259	0.8700930918
385	0.6310348444	0.8700681883
386	0.6310698037	0.8700255905
387	0.631079792	0.8699766121
388	0.6310997688	0.8699404555
389	0.6311197455	0.8699206958
390	0.6310947746	0.8698858009
391	0.6311547048	0.8698574667
392	0.6311097571	0.8698295356
393	0.6311147513	0.869801745
394	0.6310747979	0.8697870279
395	0.631104763	0.8697501406
396	0.6310947746	0.869733364
397	0.6310698037	0.8697141341
398	0.6311646931	0.8696703055
399	0.6312196291	0.8696349665
400	0.6312495942	0.8696081256
401	0.6312446	0.8695799575
402	0.6312296175	0.8695429886
403	0.6312296175	0.8694992968
404	0.631214635	0.8694621218
405	0.6312595826	0.8694341812
406	0.6312495942	0.8694016258
407	0.6312795593	0.8693532981
408	0.6312945419	0.8692838428
409	0.631299536	0.8692360193
410	0.6312745651	0.8691986849
411	0.6312495942	0.8691606514
412	0.6312545884	0.8691268942
413	0.6312795593	0.869091468
414	0.6313145186	0.8690598193
415	0.6313494779	0.8690284067
416	0.6313944255	0.8689624673
417	0.6313644604	0.8689264506
418	0.6313744488	0.8689029631
419	0.6313694546	0.8688693638
420	0.6313944255	0.8688345512
421	0.631409408	0.8688091506
422	0.6313994197	0.8687772326
423	0.6314343789	0.868735412
424	0.6313844371	0.8686855416
425	0.6314193964	0.8686565137
426	0.6314743324	0.8686009268
427	0.6315292684	0.8685823668
428	0.631574216	0.8685468614
429	0.6315542393	0.8685039645
430	0.631629152	0.868456813
431	0.6316341462	0.8684212134
432	0.6316391404	0.8683643649
433	0.6317090589	0.868320915
434	0.6317040648	0.8682855166
435	0.6317739833	0.8682722564
436	0.6318139368	0.8682400093
437	0.6318089426	0.8681981251
438	0.6317540066	0.8681555952
439	0.6317689891	0.8681137056
440	0.6318239251	0.8680588668
441	0.6318389077	0.8680289769
442	0.6317490124	0.8679704675
443	0.631739024	0.8679210021
444	0.6317689891	0.8678837838
445	0.6317889659	0.8678482503
446	0.6317839717	0.8678283455
447	0.63179396	0.8677979868
448	0.6317789775	0.8677684699
449	0.6317490124	0.8677210207
450	0.6318738669	0.8676735767
451	0.6318788611	0.8676530255
452	0.6319088262	0.8676227388
453	0.6319138204	0.8675995784
454	0.6318588844	0.8675498243
455	0.6318788611	0.8675263442
456	0.6318938437	0.8674936041
457	0.6319437855	0.867456489
458	0.631958768	0.8674334127
459	0.6319437855	0.8674033995
460	0.6319887331	0.8673608725
461	0.632013704	0.8673300669
462	0.6320087099	0.8672874665
463	0.6320087099	0.8672295025
464	0.6319687564	0.8672046671
465	0.6320087099	0.867175087
466	0.6320636459	0.8671463443
467	0.6320436691	0.8671163434
468	0.6321335644	0.8670659876
469	0.6321085935	0.8670326704
470	0.6320886168	0.8670062333
471	0.6320936109	0.8669920557
472	0.6321185819	0.8669419085
473	0.6320986051	0.8669151686
474	0.6321435528	0.8668564565
475	0.6322034829	0.8668150928
476	0.6321885004	0.8667865817
477	0.6322684073	0.8667635338
478	0.6322484306	0.8667311019
479	0.6322684073	0.8666915552
480	0.6323083608	0.8666575713
481	0.6323233433	0.8666093319
482	0.6324132386	0.8665806997
483	0.6324282211	0.8665442316
484	0.632398256	0.8665084046
485	0.6325580698	0.8664548695
486	0.6325480815	0.8663924781
487	0.6325430873	0.8663638499
488	0.6325380931	0.8663338844
489	0.6325330989	0.8663121028
490	0.6325231106	0.8662849845
491	0.6325281048	0.8662472566
492	0.632563064	0.8662248289
493	0.6325930291	0.8661989689
494	0.632618	0.8661810825
495	0.6326030175	0.8661603508
496	0.6327328662	0.866118349
497	0.6327428546	0.866091647
498	0.6328027848	0.8660437293
499	0.6328027848	0.8660264708
